matchid,teamid,win,kda,totdmgdealt,totdmgtochamp,totdmgtaken,goldearned,goldspent,totminionskilled,neutralminionskilled,champlvl,firstblood,firsttower,firstinhib,firstbaron,firstdragon,firstharry,towerkills,inhibkills,baronkills,dragonkills,harrykills,duration
137060,100,0.0,1.6753216374269004,211535.6,32018.0,48804.0,17401.2,17674.0,198.2,28.0,17.6,0,1,0,0,0,1,6,0,0,2,1,2899
137060,200,1.0,1.7685007974481657,226729.6,40333.8,40879.2,20172.6,18655.0,188.6,34.4,18.0,1,0,1,1,1,0,11,4,3,3,0,2899
137061,100,1.0,2.012698412698413,97727.4,18009.6,18627.8,11329.6,9675.0,103.6,22.0,14.4,1,0,1,1,0,1,9,2,1,1,1,1597
137061,200,0.0,1.0533333333333332,74791.6,10700.8,21646.6,8392.4,7717.0,108.6,9.2,12.4,0,1,0,0,1,0,2,0,0,1,0,1597
137062,100,0.0,2.12106227106227,104135.4,18050.8,28706.8,11288.8,10546.6,115.8,25.4,15.0,0,0,0,0,1,0,4,0,0,3,0,1893
137062,200,1.0,1.9463636363636363,127090.2,23074.0,25646.4,13441.0,12217.6,126.8,23.2,15.4,1,1,1,1,0,0,9,2,1,0,0,1893
137063,100,0.0,0.6666666666666666,61949.4,8097.2,13974.6,6747.0,5670.0,89.2,12.6,10.8,0,0,0,0,0,0,2,0,0,0,0,1323
137063,200,1.0,2.0837301587301584,85409.0,11345.6,13646.0,9329.0,8065.0,93.6,16.0,12.8,1,1,1,1,1,1,8,1,1,2,1,1323
137064,100,1.0,0.9088888888888886,152998.6,17406.0,17831.0,14079.2,12825.0,161.6,38.0,16.8,0,0,1,1,0,0,11,4,1,2,0,2038
137064,200,0.0,0.8888888888888887,139099.8,12570.8,22767.8,11389.8,10915.6,156.6,27.4,15.0,1,1,0,0,1,1,4,0,0,2,1,2038
137065,100,0.0,1.4523809523809523,125676.2,16187.4,25398.6,12185.2,11753.6,148.6,25.2,14.8,1,0,0,0,1,0,4,0,0,2,0,2272
137065,200,1.0,3.088888888888889,152438.2,19485.4,23539.8,14416.2,13563.6,159.4,30.6,16.8,0,1,1,1,0,0,5,1,1,2,0,2272
137066,100,0.0,1.5185714285714285,110928.0,13320.8,22288.0,10211.8,9690.6,140.4,18.6,15.0,0,0,0,0,0,0,0,0,0,0,0,1860
137066,200,1.0,1.3142857142857145,126839.8,17957.4,19018.8,13192.0,11485.6,136.4,22.4,15.8,1,1,1,1,1,0,11,4,2,3,0,1860
137067,100,0.0,1.835,103599.2,15898.8,21006.6,10256.6,10290.0,109.2,24.2,14.0,1,0,0,1,0,0,3,0,1,1,0,1881
137067,200,1.0,2.8625,115321.0,16413.8,22365.8,12839.0,11807.0,126.8,18.4,15.0,0,1,1,0,1,1,10,2,1,2,1,1881
137068,100,0.0,1.5966666666666665,156157.8,19851.2,24229.6,11813.0,10912.0,166.8,24.2,16.0,1,1,0,0,1,0,2,0,0,4,0,2102
137068,200,1.0,1.6180952380952378,160200.0,17358.8,28803.0,14285.4,13366.6,169.2,34.6,16.8,0,0,1,1,0,0,11,3,1,0,0,2102
137069,100,0.0,1.125714285714286,195287.4,30825.8,39035.0,17312.4,16819.0,158.6,38.4,17.8,0,0,1,1,1,0,8,4,2,3,0,2632
137069,200,1.0,1.4828571428571429,242005.6,29979.4,39845.0,17659.4,17444.6,218.4,34.4,17.6,1,1,0,0,0,1,9,1,1,1,1,2632
137070,100,0.0,2.0666666666666664,122952.0,15741.0,22510.0,10214.8,9745.0,149.4,27.4,14.4,1,0,0,0,0,0,0,0,0,0,0,2083
137070,200,1.0,3.826666666666666,156351.8,17551.2,22639.2,14034.2,11989.0,155.0,30.6,16.2,0,1,1,1,1,1,11,3,1,2,1,2083
137071,100,1.0,1.754285714285714,68843.4,9747.4,10387.4,8150.6,6425.0,85.8,18.6,11.2,1,1,1,0,1,0,5,1,0,1,0,1221
137071,200,0.0,0.6333333333333333,40247.6,4997.4,12605.8,5203.2,4788.6,67.8,7.2,9.6,0,0,0,0,0,0,0,0,0,0,0,1221
137072,100,0.0,2.685714285714286,103846.2,14536.0,19462.2,9361.4,8810.4,123.2,19.4,13.0,1,0,0,0,1,0,1,0,0,2,0,1719
137072,200,1.0,2.7666666666666666,119271.6,15147.0,20232.6,11880.6,10410.0,133.0,21.8,14.4,0,1,1,1,0,0,11,3,1,1,0,1719
137073,100,1.0,1.4895562770562767,211794.2,38742.8,38190.4,18536.6,17474.0,178.8,29.6,18.0,1,1,1,1,1,1,10,3,1,3,1,2664
137073,200,0.0,2.4682828282828284,200167.4,30405.2,46170.2,16088.8,15519.0,190.0,28.4,17.8,0,0,0,0,0,0,5,0,0,1,0,2664
137074,100,1.0,1.97,113548.8,21375.6,30942.8,12541.8,11000.0,119.2,21.6,15.4,0,0,0,1,0,0,7,1,2,0,0,1903
137074,200,0.0,2.7570695970695973,117612.4,24383.2,27727.6,12706.2,11741.6,109.0,26.4,14.6,1,1,1,0,1,0,8,1,0,3,0,1903
137075,100,1.0,1.69,75396.4,13518.0,11957.8,9281.2,8782.0,93.2,18.8,12.6,0,1,1,0,1,0,8,1,0,2,0,1358
137075,200,0.0,1.5,59382.8,7313.4,17595.4,6394.4,5631.6,80.2,16.2,10.4,1,0,0,0,0,0,0,0,0,0,0,1358
137076,100,0.0,3.363076923076924,185463.8,19902.8,26885.0,11351.8,10630.0,136.2,16.8,15.0,0,0,0,0,0,0,2,0,0,0,0,2015
137076,200,1.0,2.0720779220779217,158472.0,24560.8,27725.4,14012.6,12030.0,151.4,21.8,16.0,1,1,1,1,1,1,9,1,1,4,1,2015
137077,100,0.0,2.6,65784.2,8408.6,15703.6,7599.0,6838.6,104.4,13.8,12.2,0,0,0,0,0,0,0,0,0,0,0,1536
137077,200,1.0,2.665,102050.8,11389.8,14231.2,11123.0,9747.2,126.4,19.4,13.6,1,1,1,1,1,0,11,3,1,1,0,1536
137078,100,1.0,4.233333333333333,138949.0,18445.0,22161.0,14012.6,12537.6,153.8,17.8,16.2,1,1,1,1,0,0,11,3,1,3,0,2207
137078,200,0.0,2.6133333333333333,152290.2,14701.0,24947.4,12060.8,11001.6,164.6,32.4,15.4,0,0,0,0,1,0,3,0,0,1,0,2207
137079,100,0.0,2.194444444444444,90331.6,14028.6,23702.4,9736.8,9290.0,121.0,18.4,13.8,0,1,0,0,0,0,2,0,0,0,0,1667
137079,200,1.0,2.2146031746031745,105682.8,17843.4,19145.8,11975.0,10995.0,116.0,13.6,14.2,1,0,1,0,1,1,11,3,0,3,1,1667
137080,100,0.0,1.9285714285714284,80768.6,17304.6,21360.6,9724.8,9135.0,111.4,10.6,12.2,1,1,0,0,1,1,4,0,0,1,1,1742
137080,200,1.0,2.1499134199134198,104489.6,16854.0,24043.0,11435.8,10100.0,98.2,22.4,13.8,0,0,1,1,0,0,9,1,1,1,0,1742
137081,100,0.0,1.2133333333333334,121297.2,18431.0,26966.6,11272.8,10805.0,126.8,21.8,13.8,0,1,0,0,1,1,5,0,0,1,1,2060
137081,200,1.0,4.9996153846153835,111901.0,20671.0,24667.4,12297.2,10720.0,119.2,15.0,15.0,1,0,1,1,0,0,7,2,2,1,0,2060
137082,100,0.0,4.254061624649859,182523.8,35956.6,41220.6,17135.2,15741.6,154.4,18.4,17.6,0,0,1,0,1,1,9,3,0,2,1,2629
137082,200,1.0,6.44532967032967,189560.4,33897.2,45587.4,18062.2,17080.6,150.2,36.6,17.8,1,1,0,1,0,0,11,5,3,3,0,2629
137083,100,1.0,2.026984126984127,118531.4,21697.4,23783.8,13189.2,11823.6,120.2,19.4,15.4,1,1,0,0,1,0,5,0,0,4,0,2003
137083,200,0.0,2.81025641025641,164097.4,17967.8,24702.8,11652.2,10711.6,136.6,16.8,14.6,0,0,0,1,0,0,2,0,1,0,0,2003
137084,100,0.0,2.26,43731.6,5840.0,11997.2,6195.4,5401.6,66.0,14.0,10.0,0,0,0,0,0,1,3,0,0,0,1,1166
137084,200,1.0,3.9769230769230766,99229.8,9397.6,8783.6,8473.6,6215.0,82.6,10.8,11.2,1,1,1,0,1,0,8,1,0,2,0,1166
137085,100,0.0,0.8,47076.8,4670.0,10710.2,5469.4,4830.0,71.6,15.4,10.0,0,0,0,0,0,0,0,0,0,0,0,1196
137085,200,1.0,1.5777777777777775,68912.4,8450.0,8543.6,8445.4,7040.0,95.8,14.0,11.4,1,1,1,0,1,1,9,1,0,1,1,1196
137086,100,0.0,1.7866666666666666,142787.6,25441.0,30182.8,12773.6,12084.0,153.0,32.6,15.6,0,0,0,0,0,0,6,0,0,1,0,2169
137086,200,1.0,2.951111111111111,149380.2,25009.2,31054.6,13290.0,11506.6,147.2,25.4,16.0,1,1,1,1,1,1,9,2,1,3,1,2169
